link,img,product,color,brand,greenable,discounted,disc_price,orig_price,collection,label,gender,product_category,category
/en/product/mini-half-moon-smooth-leather-bag-capuccino-a-p-c-300427,https://static.smallable.com/1575679-648x648q80/.jpg,mini half moon smooth leather bag,capuccino,a.p.c.,1,0,360.0,360.0,ss,bags,w,shoulder bags,bag
/en/product/boden-cotton-poplin-dress-mint-green-xirena-306763,https://static.smallable.com/1646913-648x648q80/.jpg,boden cotton poplin dress,mint green,xirena,0,1,242.2,346.0,ss,dress,w,long dresses,dress_overalls
/en/product/remi-dress-rust-ulla-johnson-306657,https://static.smallable.com/1655993-648x648q80/.jpg,remi dress,rust,ulla johnson,0,1,330.0,550.0,ss,dress,w,long dresses,dress_overalls
/en/product/ayin-lapis-lazuli-necklace-blue-bohemian-rhapsodie-259567,https://static.smallable.com/1373593-648x648q80/.jpg,ayin lapis lazuli necklace,blue,bohemian rhapsodie paris,0,0,195.0,195.0,ss,jewelry,w,necklaces,jewelry
/en/product/bolla-maxi-bag-chocolate-nido-274961,https://static.smallable.com/1425113-648x648q80/.jpg,bolla maxi bag,chocolate,nido,1,0,420.0,420.0,ss,bags,w,handbags,bag
/en/product/serina-cotton-gauze-skirt-black-xirena-306819,https://static.smallable.com/1673394-648x648q80/.jpg,serina cotton gauze skirt,black,xirena,0,1,207.9,297.0,ss,bottom,w,long skirts,bottom
/en/product/scabiosa-earrings-black-apres-ski-214173,https://static.smallable.com/1256682-648x648q80/scabiosa-earrings.jpg,scabiosa earrings,black,apres ski,0,0,77.0,77.0,ss,jewelry,w,earrings,jewelry
/en/product/heart-belt-bag-sand-rose-in-april-277494,https://static.smallable.com/1452262-648x648q80/.jpg,heart belt bag,sand,rose in april,1,0,45.0,45.0,ss,accessories,w,shoulder bags,accessories
/en/product/mini-hoop-earrings-white-bangle-up-170553,https://static.smallable.com/1058213-648x648q80/mini-hoop-earrings.jpg,mini hoop earrings,white,bangle up,1,0,45.0,45.0,ss,jewelry,w,earrings,jewelry
/en/product/solaro-embroidered-vest-ecru-sessun-302221,https://static.smallable.com/1669637-648x648q80/.jpg,solaro embroidered vest,ecru,sessun,0,0,165.0,165.0,ss,coat,w,jackets,coat
/en/product/comporta-striped-pants-ecru-masscob-303003,https://static.smallable.com/1609681-648x648q80/.jpg,comporta striped pants,ecru,masscob,0,0,276.0,276.0,ss,bottom,w,straight leg trousers,bottom
/en/product/maya-denim-shorts-women-s-collection-denim-blue-marlot-paris-314016,https://static.smallable.com/1683189-648x648q80/.jpg,maya denim shorts - women's collection ,denim blue,marlot paris,1,0,85.0,85.0,ss,bottom,w,shorts,bottom
/en/product/laweville-dress-navy-blue-american-vintage-307736,https://static.smallable.com/1647919-648x648q80/.jpg,laweville dress,navy blue,american vintage,0,1,69.0,115.0,ss,dress,w,long dresses,dress_overalls
/en/product/leopard-print-bumbag-leopard-rose-in-april-316429,https://static.smallable.com/1692956-648x648q80/.jpg,leopard print bumbag,leopard,rose in april,1,0,45.0,45.0,ss,bags,w,fanny packs,bag
/en/product/timon-pants-prussian-blue-soeur-302519,https://static.smallable.com/1675739-648x648q80/.jpg,timon pants,prussian blue,soeur,0,1,157.5,225.0,ss,bottom,w,straight leg trousers,bottom
/en/product/ayin-fluorite-necklace-burgundy-bohemian-rhapsodie-259566,https://static.smallable.com/1373592-648x648q80/.jpg,ayin fluorite necklace,burgundy,bohemian rhapsodie paris,0,0,195.0,195.0,ss,jewelry,w,necklaces,jewelry
/en/product/the-amore-ring-gold-alighieri-295513,https://static.smallable.com/1585060-648x648q80/.jpg,the amore ring,gold,alighieri,1,0,335.0,335.0,ss,jewelry,w,rings,jewelry
/en/product/georgia-fine-ring-gold-louise-damas-246956,https://static.smallable.com/1567982-648x648q80/.jpg,georgia fine ring,gold,louise damas,0,0,65.0,65.0,ss,jewelry,w,rings,jewelry
/en/product/scout-cotton-muslin-shirt-storm-blue-xirena-306769,https://static.smallable.com/1673372-648x648q80/.jpg,scout cotton muslin shirt,storm blue,xirena,0,1,163.1,233.0,ss,top,w,long sleeve shirts,top
