link,img,product,color,brand,greenable,discounted,disc_price,orig_price
/en/product/isthmus-recycled-nylon-jacket-men-s-collection-green-patagonia-266582,https://static.smallable.com/1416990-648x648q80/.jpg,isthmus recycled nylon jacket - men’s collection ,green,patagonia,1,1,140.0,200.0
/en/product/terry-cloth-polo-shirt-men-s-collection-navy-blue-oas-company-272833,https://static.smallable.com/1405226-648x648q80/.jpg,terry cloth polo shirt - men’s collection ,navy blue,oas,0,0,109.0,109.0
/en/product/terry-cloth-shorts-men-s-collection-navy-blue-oas-company-272845,https://static.smallable.com/1405262-648x648q80/.jpg,terry cloth shorts - men’s collection ,navy blue,oas,0,0,99.0,99.0
/en/product/kamifuji-t-shirt-ecru-edwin-260243,https://static.smallable.com/1413420-648x648q80/.jpg,kamifuji t-shirt,ecru,edwin,0,1,27.0,45.0
/en/product/chase-socks-black-carhartt-234517,https://static.smallable.com/1320558-648x648q80/.jpg,chase socks,black,carhartt wip,0,1,9.0,15.0
/en/product/heat-watch-white-nixon-254635,https://static.smallable.com/1340280-648x648q80/.jpg,heat watch,white,nixon,0,1,90.0,150.0
/en/product/re-run-watch-black-nixon-254640,https://static.smallable.com/1665098-648x648q80/.jpg,re-run watch,black,nixon,0,0,125.0,125.0
/en/product/recycled-fibre-swimsuit-black-atalaye-251005,https://static.smallable.com/1686854-648x648q80/.jpg,recycled fibre swimsuit,black,atalaye,1,0,99.0,99.0
/en/product/recycled-fibre-swimsuit-navy-blue-atalaye-251006,https://static.smallable.com/1686859-648x648q80/.jpg,recycled fibre swimsuit,navy blue,atalaye,1,0,99.0,99.0
/en/product/d-sunglasses-blue-izipizi-186839,https://static.smallable.com/1091470-648x648q80/d-sunglasses.jpg,#d sunglasses,blue,izipizi,0,0,40.0,40.0
/en/product/charlie-denim-cap-denim-brut-a-p-c-214337,https://static.smallable.com/1205883-648x648q80/charlie-denim-cap.jpg,charlie denim cap ,denim brut,a.p.c.,0,1,57.0,95.0
/en/product/d-screen-glasses-blue-izipizi-93475,https://static.smallable.com/746645-648x648q80/d-screen-glasses.jpg,#d screen glasses,blue,izipizi,0,0,40.0,40.0
/en/product/recycled-fibre-swimsuit-light-blue-atalaye-251009,https://static.smallable.com/1686873-648x648q80/.jpg,recycled fibre swimsuit,light blue,atalaye,1,0,99.0,99.0
/en/product/hoodie-adult-collection-navy-blue-patagonia-241077,https://static.smallable.com/1347344-648x648q80/.jpg,hoodie - adult collection ,navy blue,patagonia,1,1,63.0,90.0
/en/product/light-wave-watch-black-nixon-254625,https://static.smallable.com/1356736-648x648q80/.jpg,light-wave watch,black,nixon,1,1,90.0,150.0
/en/product/light-wave-watch-taupe-grey-nixon-254626,https://static.smallable.com/1414670-648x648q80/.jpg,light-wave watch,taupe grey,nixon,1,1,90.0,150.0
/en/product/light-wave-watch-grey-blue-nixon-254629,https://static.smallable.com/1340264-648x648q80/.jpg,light-wave watch,grey blue,nixon,1,1,90.0,150.0
/en/product/puffer-vest-adult-collection-black-taion-245465,https://static.smallable.com/1339915-648x648q80/.jpg,puffer vest - adult collection ,black,taion,0,0,69.0,69.0
/en/product/c-sun-sunglasses-blue-izipizi-248099,https://static.smallable.com/1336184-648x648q80/.jpg,#c sun sunglasses,blue,izipizi,0,0,40.0,40.0
/en/product/c-sun-sunglasses-pale-yellow-izipizi-248097,https://static.smallable.com/1336178-648x648q80/.jpg,#c sun sunglasses,pale yellow,izipizi,0,0,40.0,40.0
/en/product/waterproof-cap-black-rains-230563,https://static.smallable.com/1258961-648x648q80/.jpg,waterproof cap,black,rains,1,1,21.5,43.0
/en/product/logo-t-shirt-adult-collection-white-patagonia-241079,https://static.smallable.com/1320159-648x648q80/.jpg,logo t-shirt - adult collection,white,patagonia,1,0,45.0,45.0
/en/product/allied-40-watch-black-timex-227525,https://static.smallable.com/1318161-648x648q80/.jpg,allied 40 watch,black,timex,0,1,77.0,110.0
/en/product/athletic-t-shirt-adult-collection-navy-blue-champion-246807,https://static.smallable.com/1317332-648x648q80/.jpg,athletic t-shirt - adult collection,navy blue,champion,0,1,27.3,39.0
/en/product/socks-adult-collection-white-element-244914,https://static.smallable.com/1293070-648x648q80/.jpg,socks - adult collection ,white,element,0,1,7.0,10.0
/en/product/ruck-tapered-cotton-jeans-denim-stonewashed-carhartt-234449,https://static.smallable.com/1302930-648x648q80/.jpg,ruck tapered cotton jeans,denim stonewashed,carhartt wip,1,0,89.0,89.0
/en/product/shield-hoodie-adult-collection-black-daily-paper-240429,https://static.smallable.com/1301175-648x648q80/.jpg,shield hoodie - adult collection ,black,daily paper,0,1,66.0,110.0
/en/product/ace-organic-cotton-t-shirt-adult-collection-black-wood-wood-234744,https://static.smallable.com/1295096-648x648q80/.jpg,ace organic cotton t-shirt - adult collection ,black,wood wood,1,1,38.5,55.0
/en/product/ian-organic-cotton-hoodie-adult-collection-grey-wood-wood-234742,https://static.smallable.com/1295090-648x648q80/.jpg,ian organic cotton hoodie - adult collection ,grey,wood wood,1,1,98.0,140.0
/en/product/eli-cap-adult-collection-white-wood-wood-234738,https://static.smallable.com/1295084-648x648q80/.jpg,eli cap - adult collection ,white,wood wood,0,1,28.0,40.0
/en/product/ace-organic-cotton-t-shirt-adult-collection-navy-blue-wood-wood-234746,https://static.smallable.com/1295102-648x648q80/.jpg,ace organic cotton t-shirt - adult collection ,navy blue,wood wood,1,1,38.5,55.0
/en/product/john-chino-shorts-dark-green-carhartt-219465,https://static.smallable.com/1261834-648x648q80/john-chino-shorts.jpg,john chino shorts ,dark green,carhartt wip,0,1,41.3,59.0
/en/product/navi-depth-watch-blue-timex-227523,https://static.smallable.com/1333253-648x648q80/.jpg,navi depth watch,blue,timex,0,1,105.0,150.0
/en/product/navi-harbor-watch-black-timex-227522,https://static.smallable.com/1333252-648x648q80/.jpg,navi harbor watch,black,timex,0,1,94.5,135.0
/en/product/francis-sunglasses-adult-collection-brown-komono-227623,https://static.smallable.com/1238618-648x648q80/francis-sunglasses.jpg,francis sunglasses - adult collection -  ,brown,komono,1,0,49.0,49.0
/en/product/devon-metal-sunglasses-adult-collection-grey-komono-215314,https://static.smallable.com/1201715-648x648q80/devon-metal-sunglasses.jpg,devon metal sunglasses - adult collection -  ,grey,komono,0,0,69.0,69.0
/en/product/devon-sunglasses-adult-collection-beige-komono-215313,https://static.smallable.com/1678445-648x648q80/devon-sunglasses.jpg,devon sunglasses - adult collection -  ,beige,komono,0,0,49.0,49.0
/en/product/g-sunglasses-blue-izipizi-155046,https://static.smallable.com/991463-648x648q80/g-sunglasses.jpg,#g sunglasses,blue,izipizi,0,0,40.0,40.0
/en/product/d-mirror-glass-sunglasses-black-izipizi-93440,https://static.smallable.com/746559-648x648q80/d-mirror-glass-sunglasses.jpg,#d mirror glass sunglasses,black,izipizi,0,0,39.0,39.0
/en/product/c-sunglasses-blue-izipizi-93424,https://static.smallable.com/746625-648x648q80/c-sunglasses.jpg,#c sunglasses,blue,izipizi,0,0,40.0,40.0
/en/product/d-screen-glasses-brown-izipizi-93474,https://static.smallable.com/746562-648x648q80/d-screen-glasses.jpg,#d screen glasses,brown,izipizi,0,0,40.0,40.0
/en/product/d-screen-glasses-black-izipizi-93473,https://static.smallable.com/746635-648x648q80/d-screen-glasses.jpg,#d screen glasses,black,izipizi,0,0,40.0,40.0
/en/product/g-tortoise-sunglasses-beige-izipizi-121760,https://static.smallable.com/957251-648x648q80/g-tortoise-sunglasses.jpg,#g tortoise sunglasses,beige,izipizi,0,0,40.0,40.0
/en/product/francis-sunglasses-adult-collection-yellow-komono-215319,https://static.smallable.com/1201457-648x648q80/francis-sunglasses.jpg,francis sunglasses - adult collection -  ,yellow,komono,0,0,49.0,49.0
/en/product/computer-glasses-d-peach-izipizi-225793,https://static.smallable.com/1243085-648x648q80/computer-glasses-d.jpg,computer glasses #d,peach,izipizi,0,0,40.0,40.0
/en/product/c-screen-protection-glasses-green-izipizi-186845,https://static.smallable.com/1226390-648x648q80/c-screen-protection-glasses.jpg,#c screen protection glasses,green,izipizi,0,0,40.0,40.0
/en/product/redbox-t-shirt-white-the-north-face-221592,https://static.smallable.com/1207104-648x648q80/redbox-t-shirt.jpg,redbox t-shirt ,white,the north face,0,1,28.0,40.0
/en/product/sid-chino-trousers-midnight-blue-carhartt-219456,https://static.smallable.com/1204340-648x648q80/sid-chino-trousers.jpg,sid chino trousers  ,midnight blue,carhartt wip,0,1,62.3,89.0
