link,img,product,color,brand,greenable,discounted,disc_price,orig_price,collection
/en/product/harry-pencil-case-la-cerise-sur-le-gateau-293657,https://static.smallable.com/1524504-648x648q80/.jpg,harry pencil case,none,la cerise sur le gâteau,1,0,18.0,18.0,ss
/en/product/benny-bonded-long-jacket-navy-blue-k-way-309685,https://static.smallable.com/1612524-648x648q80/.jpg,benny bonded long jacket,navy blue,k-way,0,0,299.0,299.0,ss
/en/product/striped-t-shirt-camel-le-minor-316702,https://static.smallable.com/1654504-648x648q80/.jpg,striped t-shirt,camel,le minor,0,0,75.0,75.0,ss
/en/product/sailor-t-shirt-amande-le-minor-316711,https://static.smallable.com/1654541-648x648q80/.jpg,sailor t-shirt,amande,le minor,0,0,85.0,85.0,ss
/en/product/sailor-t-shirt-gold-le-minor-316710,https://static.smallable.com/1654537-648x648q80/.jpg,sailor t-shirt,gold,le minor,0,0,79.0,79.0,ss
/en/product/sailor-t-shirt-orange-le-minor-316709,https://static.smallable.com/1654533-648x648q80/.jpg,sailor t-shirt,orange,le minor,0,0,79.0,79.0,ss
/en/product/striped-t-shirt-yellow-le-minor-316704,https://static.smallable.com/1654516-648x648q80/.jpg,striped t-shirt,yellow,le minor,0,0,75.0,75.0,ss
/en/product/striped-t-shirt-green-le-minor-316706,https://static.smallable.com/1654521-648x648q80/.jpg,striped t-shirt,green,le minor,0,0,75.0,75.0,ss
/en/product/striped-t-shirt-green-le-minor-316701,https://static.smallable.com/1654499-648x648q80/.jpg,striped t-shirt,green,le minor,0,0,75.0,75.0,ss
/en/product/striped-t-shirt-red-le-minor-316705,https://static.smallable.com/1654517-648x648q80/.jpg,striped t-shirt,red,le minor,0,0,75.0,75.0,ss
/en/product/striped-t-shirt-red-le-minor-316707,https://static.smallable.com/1654525-648x648q80/.jpg,striped t-shirt,red,le minor,0,0,75.0,75.0,ss
/en/product/sailor-t-shirt-navy-blue-le-minor-316712,https://static.smallable.com/1654545-648x648q80/.jpg,sailor t-shirt,navy blue,le minor,0,0,85.0,85.0,ss
/en/product/sailor-t-shirt-light-blue-le-minor-316708,https://static.smallable.com/1654529-648x648q80/.jpg,sailor t-shirt,light blue,le minor,0,0,79.0,79.0,ss
/en/product/striped-t-shirt-blue-le-minor-316703,https://static.smallable.com/1654508-648x648q80/.jpg,striped t-shirt,blue,le minor,0,0,75.0,75.0,ss
/en/product/heavyweight-canvas-coach-jacket-charcoal-grey-deux-ex-machina-305906,https://static.smallable.com/1680736-648x648q80/.jpg,heavyweight canvas coach jacket,charcoal grey,deus ex machina,1,1,101.4,169.0,ss
/en/product/5600-watch-black-g-shock-307200,https://static.smallable.com/1600661-648x648q80/.jpg,5600 watch,black,g-shock,0,0,99.0,99.0,ss
/en/product/calculator-watch-35mm-black-casio-vintage-307218,https://static.smallable.com/1602375-648x648q80/.jpg,calculator watch 35mm,black,casio vintage,0,0,49.0,49.0,ss
/en/product/watch-ga-2100-black-g-shock-307195,https://static.smallable.com/1600631-648x648q80/.jpg,watch ga-2100,black,g-shock,0,0,99.0,99.0,ss
/en/product/watch-gm-2100-black-g-shock-307193,https://static.smallable.com/1600613-648x648q80/.jpg,watch gm-2100,black,g-shock,0,0,199.0,199.0,ss
