link,img,product,color,brand,greenable,discounted,disc_price,orig_price
/en/product/gunilla-patchwork-skirt-blue-birgitte-herskind-306502,https://static.smallable.com/1630451-648x648q80/.jpg,gunilla patchwork skirt,blue,birgitte herskind,1,1,124.5,249.0
/en/product/custine-recycled-cotton-bumbag-black-rive-droite-226988,https://static.smallable.com/1249355-648x648q80/custine-recycled-cotton-bumbag.jpg,custine recycled cotton bumbag ,black,rivedroite,1,0,60.0,60.0
/en/product/90s-crop-organic-cotton-jeans-replica-agolde-275132,https://static.smallable.com/1454768-648x648q80/.jpg,90s crop organic cotton jeans,replica,agolde,1,0,269.0,269.0
/en/product/richard-organic-cotton-dress-carbon-leon-harper-259112,https://static.smallable.com/1436588-648x648q80/.jpg,richard organic cotton dress,carbon,leon & harper,1,1,47.5,95.0
/en/product/susel-organic-cotton-t-shirt-white-humanoid-306486,https://static.smallable.com/1638688-648x648q80/.jpg,susel organic cotton t-shirt,white,humanoid,1,0,99.0,99.0
/en/product/casquette-sunflare-trucker-black-deux-ex-machina-305914,https://static.smallable.com/1702026-648x648q80/.jpg,casquette sunflare trucker,black,deus ex machina,0,1,23.4,39.0
/en/product/ceinture-tressee-2-cm-caramel-dragon-diffusion-305128,https://static.smallable.com/1693519-648x648q80/.jpg,ceinture tressee 2 cm,caramel,dragon diffusion,1,0,59.0,59.0
/en/product/ayin-malachite-necklace-turquoise-bohemian-rhapsodie-259568,https://static.smallable.com/1373588-648x648q80/.jpg,ayin malachite necklace,turquoise,bohemian rhapsodie paris,0,0,195.0,195.0
/en/product/cigar-blouse-black-laurence-bras-305314,https://static.smallable.com/1646931-648x648q80/.jpg,cigar blouse,black,laurence bras,0,0,210.0,210.0
/en/product/large-nantucket-basket-beige-dragon-diffusion-305098,https://static.smallable.com/1661835-648x648q80/.jpg,large nantucket basket,beige,dragon diffusion,1,0,405.0,405.0
/en/product/rubine-linen-dress-fuchsia-hartford-304498,https://static.smallable.com/1655848-648x648q80/.jpg,rubine linen dress,fuchsia,hartford,0,1,81.0,135.0
/en/product/casquette-sunrise-dad-white-deux-ex-machina-305917,https://static.smallable.com/1615384-648x648q80/.jpg,casquette sunrise dad,white,deus ex machina,0,0,39.0,39.0
/en/product/thailand-silk-dress-brown-soeur-302492,https://static.smallable.com/1590786-648x648q80/.jpg,thailand silk dress,brown,soeur,0,1,276.5,395.0
