,product_category
3033,Pyjamas
3034,Round neck sweatshirts
3035,Hats
3036,Bikinis
3037,Long dresses
3038,Long sleeve blouses
3039,Pyjamas
3040,Sleeveless tops
3041,Socks
3042,Short sleeve blouses
3043,Socks
3044,Pyjamas
3045,Long skirts
3046,Pyjamas
3047,Long sleeve shirts
3048,Short dresses
3049,Socks
3050,Round neck sweatshirts
3051,Long dresses
3052,1 piece swimsuits
3053,Long skirts
3054,Round neck sweatshirts
3055,Short sleeve t-shirts
3056,Socks
3057,Shorts
3058,Knickers
3059,Hats
3060,Hats
3061,Short dresses
3062,Small leather goods
3063,1 piece swimsuits
3064,Straight leg trousers
3065,Jackets
3066,Sunhats
3067,"Capes, Ponchos"
3068,Round neck jumpers
3069,"Belts, Braces"
3070,Sunhats
3071,Short dresses
3072,Short skirts
3073,Long sleeve shirts
3074,Bikini top
3075,1 piece swimsuits
3076,Shorts
3077,Long dresses
3078,Short sleeve t-shirts
3079,Short sleeve t-shirts
3080,Toiletry bags
3081,Headbands
3082,Straight
3083,Straight
3084,Straight
3085,Bikini bottom
3086,Bikini top
3087,Short dresses
3088,Short dresses
3089,Jackets
3090,Short sleeve t-shirts
3091,Hats
3092,Long skirts
3093,Short dresses
3094,Jackets
3095,Sleeveless tops
3096,Long dresses
3097,"Belts, Braces"
3098,Short sleeve t-shirts
3099,Headbands
3100,"Capes, Ponchos"
3101,Sunhats
3102,Socks
3103,Short dresses
3104,Long dresses
3105,1 piece swimsuits
3106,Bikini top
3107,"Belts, Braces"
3108,Round neck jumpers
3109,Hats
3110,Socks
3111,Long skirts
3112,Short dresses
3113,Bikini bottom
3114,Bikini top
3115,Bikini top
3116,Long dresses
3117,Long skirts
3118,Hats
3119,Hats
3120,Socks
3121,Pyjamas
3122,Bras
3123,Long sleeve blouses
3124,Long dresses
3125,Shorts
3126,Long skirts
3127,Long dresses
3128,Jackets
3129,Short sleeve blouses
3130,Small leather goods
3131,Small leather goods
3132,Socks
3133,Hair clips
3134,Socks
3135,Socks
3136,Socks
3137,Long dresses
3138,1 piece swimsuits
3139,Short sleeve t-shirts
3140,Handbags
3141,Handbags
3142,Hats
3143,Handbags
3144,Shoulder bags
3145,Hats
3146,Shoulder bags
3147,Round neck sweatshirts
3148,Shoulder bags
3149,Long dresses
3150,Short sleeve t-shirts
3151,Long sleeve t-shirts
3152,/
3153,Short dresses
3154,Long skirts
3155,Long dresses
3156,Long dresses
3157,Long dresses
3158,Long dresses
3159,Long dresses
3160,Trench coats
3161,Long sleeve blouses
3162,Long sleeve blouses
3163,Sunhats
3164,/
3165,Shoulder bags
3166,Long dresses
3167,Shoulder bags
3168,Shoulder bags
3169,Long dresses
3170,Long sleeve blouses
3171,Sleeveless tops
3172,Scarves
3173,Socks
3174,Straight leg trousers
3175,Straight leg trousers
3176,Long sleeve blouses
3177,Shoulder bags
3178,"Belts, Braces"
3179,Long sleeve blouses
3180,Long dresses
3181,Bikini top
3182,Bikini bottom
3183,Long dresses
3184,Bikini top
3185,1 piece swimsuits
3186,Bikini bottom
3187,Bikini top
3188,1 piece swimsuits
3189,Long skirts
3190,Long sleeve blouses
3191,Long dresses
3192,Round neck jumpers
3193,"Belts, Braces"
3194,Socks
3195,Long sleeve t-shirts
3196,Caps
3197,Shoulder bags
3198,Handbags
3199,Shoulder bags
3200,Bikini top
3201,Bikini bottom
3202,Bikini top
3203,Bracelets
3204,Long dresses
3205,Bracelets
3206,Bracelets
3207,Bracelets
3208,Bracelets
3209,Bracelets
3210,Bracelets
3211,Bracelets
3212,Bracelets
3213,Bracelets
3214,Bracelets
3215,Bracelets
3216,Bracelets
3217,Bracelets
3218,Long sleeve blouses
3219,Bikini bottom
3220,Bracelets
3221,Bracelets
3222,Small leather goods
3223,Long sleeve blouses
3224,Handbags
3225,1 piece swimsuits
3226,Bikini bottom
3227,Bikini top
3228,Short sleeve t-shirts
3229,V neck jumpers
3230,Round neck jumpers
3231,Parkas
3232,Short sleeve t-shirts
3233,Short sleeve blouses
