,product_category
6406,Socks
6407,Socks
6408,Small leather goods
6409,Small leather goods
6410,Gloves
6411,Gloves
6412,Gloves
6413,Gloves
6414,Scarves
6415,Jackets
6416,Shoulder bags
6417,Gloves
6418,Beanies
6419,Straight
6420,Straight
6421,Fleece sweatshirts
6422,Hooded sweatshirts
6423,Straight
6424,Fingerless gloves
6425,Scarves
6426,Scarves
6427,Straight
6428,Straight
6429,Jackets
6430,Socks
6431,Short sleeve t-shirts
6432,Socks
6433,Beanies
6434,Socks
6435,Tapered
6436,Down jackets
6437,Backpacks
6438,Down jackets
6439,Down jackets
6440,Down jackets
6441,Down jackets
6442,Beanies
6443,Knickers
6444,Beanies
6445,Beanies
6446,Beanies
6447,Beanies
6448,Beanies
6449,Beanies
6450,Beanies
6451,Straight leg trousers
6452,Beanies
6453,Beanies
6454,Beanies
6455,Beanies
6456,Beanies
6457,Beanies
6458,Beanies
6459,Beanies
6460,Beanies
6461,Tank tops
6462,Turtleneck jumpers
6463,Long sleeve t-shirts
6464,Bras
6465,Long sleeve t-shirts
6466,Tank tops
6467,Long sleeve t-shirts
6468,Jumpsuits
6469,Long sleeve t-shirts
6470,Turtleneck jumpers
6471,Shoulder bags
6472,Earrings
6473,Poloneck jumpers
6474,Long sleeve t-shirts
6475,Short sleeve t-shirts
6476,Parkas
6477,Bracelets
6478,Bracelets
6479,Shoulder bags
6480,Mittens
6481,Gloves
6482,Mittens
6483,Socks
6484,Straight
6485,Straight
6486,Tapered
6487,Straight leg trousers
6488,Shoulder bags
6489,Socks
6490,Earrings
6491,Socks
6492,Socks
6493,Mittens
6494,Hats
6495,Gloves
6496,Round neck jumpers
6497,Long sleeve t-shirts
6498,Bikinis
6499,Long sleeve t-shirts
6500,Raincoats
6501,Socks
6502,"Belts, Braces"
6503,"Belts, Braces"
6504,Turtleneck jumpers
6505,"Belts, Braces"
6506,"Belts, Braces"
6507,Mittens
6508,Small leather goods
6509,"Belts, Braces"
6510,"Belts, Braces"
6511,Jogging bottoms
6512,"Flare, Bootcut"
6513,Socks
6514,Socks
6515,Socks
6516,"Belts, Braces"
6517,Socks
6518,"Belts, Braces"
6519,Raincoats
6520,Earrings
6521,Earrings
6522,Necklaces
6523,Earrings
6524,Necklaces
6525,Necklaces
6526,Earrings
6527,Earrings
6528,Earrings
6529,Necklaces
6530,Necklaces
6531,Bras
6532,Bracelets
6533,"Belts, Braces"
6534,Sports Leggings & shorts
6535,"Belts, Braces"
6536,Knickers
6537,1 piece swimsuits
6538,Small leather goods
6539,Small leather goods
6540,Small leather goods
6541,Mittens
6542,"Flare, Bootcut"
6543,Long sleeve shirts
6544,"Cases, Phone cases, Sleeves"
6545,Round neck sweatshirts
6546,"Belts, Braces"
6547,Bras
6548,Straight
6549,Pencil cases
6550,Long sleeve t-shirts
6551,Pouches
6552,Pencil cases
6553,Pencil cases
6554,Pouches
6555,Pouches
6556,Knickers
6557,Knickers
6558,Knickers
6559,Pyjamas
6560,Knickers
6561,Handbags
6562,Tote bags
6563,Straight
6564,/
6565,Handbags
6566,Straight
6567,/
6568,"Flare, Bootcut"
6569,"Flare, Bootcut"
6570,Pyjamas
6571,Straight leg trousers
6572,Jackets
6573,Parkas
6574,Parkas
6575,Round neck jumpers
6576,Long skirts
6577,Straight leg trousers
6578,Parkas
6579,Parkas
6580,Yoga mats
6581,Gloves
6582,Straight
6583,Gloves
6584,Gloves
6585,Long sleeve t-shirts
6586,Gloves
6587,Mittens
6588,Gloves
6589,Gloves
6590,"Flare, Bootcut"
6591,Gloves
6592,Gloves
6593,Pouches
6594,Pencil cases
6595,Gloves
6596,"Flare, Bootcut"
6597,Gloves
6598,Gloves
6599,"Flare, Bootcut"
6600,Jackets
6601,Long sleeve t-shirts
6602,Short sleeve t-shirts
6603,Poloneck jumpers
6604,Short sleeve t-shirts
6605,Small leather goods
6606,Shoulder bags
6607,Handbags
6608,Shoulder bags
6609,Shoulder bags
6610,Jackets
6611,Gym bags
6612,Socks
6613,Earrings
6614,Socks
6615,Sports Bras
6616,Tote bags
6617,Long sleeve t-shirts
6618,/
6619,Long dresses
6620,Pyjamas
6621,/
6622,/
6623,Handbags
6624,Straight
6625,Long sleeve shirts
6626,Straight leg trousers
6627,Long sleeve t-shirts
6628,Long sleeve t-shirts
6629,Sports Bras
6630,Sports Bras
6631,/
6632,/
6633,Short sleeve t-shirts
6634,/
6635,/
6636,Short sleeve t-shirts
6637,Straight
6638,/
6639,/
6640,Short sleeve t-shirts
6641,Long sleeve t-shirts
6642,/
6643,/
6644,/
6645,/
6646,/
6647,/
6648,/
6649,/
6650,/
6651,Long sleeve t-shirts
6652,Tank tops
6653,Round neck jumpers
6654,Tank tops
6655,Poloneck jumpers
6656,Short sleeve t-shirts
6657,Round neck jumpers
6658,Poloneck jumpers
6659,Long sleeve t-shirts
6660,Tank tops
6661,Poloneck jumpers
6662,Tank tops
6663,V neck jumpers
6664,Earrings
6665,Earrings
6666,Earrings
6667,Earrings
6668,Earrings
6669,Bracelets
6670,Bracelets
6671,Bracelets
6672,Earrings
6673,Earrings
6674,Earrings
6675,Necklaces
6676,Bracelets
6677,Earrings
6678,Earrings
6679,Straight
6680,Bracelets
6681,Earrings
6682,Necklaces
6683,Earrings
6684,Necklaces
6685,Earrings
6686,Bracelets
6687,Necklaces
6688,Rings
6689,Bracelets
6690,/
6691,/
6692,/
6693,/
6694,Sleeveless tops
6695,/
6696,/
6697,/
6698,/
6699,Pouches
6700,Shoulder bags
6701,Short dresses
6702,Knickers
6703,Bracelets
6704,Backpacks
6705,Straight leg trousers
6706,Bracelets
6707,Straight
6708,Watches
6709,Long sleeve shirts
6710,Long sleeve shirts
6711,Straight
6712,Bracelets
6713,Necklaces
6714,Necklaces
6715,Bracelets
6716,Bracelets
6717,Necklaces
6718,Bracelets
6719,Necklaces
6720,Straight leg trousers
6721,Rings
6722,Polo-neck jumpers
6723,Socks
6724,Long sleeve t-shirts
6725,Long sleeve t-shirts
6726,Short sleeve t-shirts
6727,Polo-neck jumpers
6728,Necklaces
6729,Necklaces
6730,Necklaces
6731,Necklaces
6732,Necklaces
6733,Short sleeve t-shirts
6734,Earrings
6735,/
6736,Necklaces
6737,Necklaces
6738,Tank tops
6739,Socks
6740,Short sleeve t-shirts
6741,Socks
6742,Socks
6743,Bracelets
6744,Rings
6745,Necklaces
6746,Bracelets
6747,Necklaces
6748,Bracelets
6749,Earrings
6750,Straight leg trousers
6751,Straight leg trousers
6752,"Flare, Bootcut"
6753,"Flare, Bootcut"
6754,Bracelets
6755,Shoulder bags
6756,Shoulder bags
6757,Backpacks
6758,Backpacks
6759,Short sleeve t-shirts
6760,Watches
6761,Watches
6762,Watches
6763,Watches
6764,Sunglasses
6765,Pouches
6766,Bracelets
6767,Rings
6768,Rings
6769,Earrings
6770,Earrings
6771,Earrings
6772,Bracelets
6773,Necklaces
6774,Necklaces
6775,Earrings
6776,Rings
6777,Earrings
6778,Bracelets
6779,Earrings
6780,Pyjamas
6781,Boyfriend
6782,Straight
6783,Small leather goods
6784,Pouches
6785,Shoulder bags
6786,"Flare, Bootcut"
6787,Shoulder bags
6788,Bracelets
6789,Necklaces
6790,Bracelets
6791,Bracelets
6792,Bracelets
6793,Necklaces
6794,Bracelets
6795,Bracelets
6796,Necklaces
6797,Bracelets
6798,Necklaces
6799,Necklaces
6800,/
6801,Earrings
6802,Bracelets
6803,Handbags
6804,Bracelets
6805,Knickers
6806,Bras
6807,Sports Top
6808,"Belts, Braces"
6809,Shoulder bags
6810,"Belts, Braces"
6811,/
6812,Pouches
6813,Earrings
6814,Shoulder bags
6815,Jackets
6816,Sunhats
6817,"Caps, Beanies"
6818,Necklaces
6819,Necklaces
6820,Necklaces
6821,Necklaces
6822,Necklaces
6823,Necklaces
6824,Jackets
6825,"Flare, Bootcut"
6826,Down jackets
6827,Short sleeve t-shirts
6828,Short sleeve t-shirts
6829,Jackets
6830,/
6831,Jackets
6832,Necklaces
6833,Necklaces
6834,"Capes, Ponchos"
6835,"Capes, Ponchos"
6836,Socks
6837,Bracelets
6838,Bracelets
6839,Bracelets
6840,Small leather goods
6841,Jogging bottoms
6842,"Flare, Bootcut"
6843,Pyjamas
6844,Slouchy trousers
6845,/
6846,/
6847,/
6848,Rings
6849,Rings
6850,Straight
6851,"Flare, Bootcut"
6852,"Flare, Bootcut"
6853,Coats
6854,Necklaces
6855,Necklaces
6856,Straight
6857,Bracelets
6858,Socks
6859,Cardigans
6860,Beanies
6861,Bracelets
6862,Necklaces
6863,Handbags
6864,Bracelets
6865,Bracelets
6866,Necklaces
6867,Bracelets
6868,Bracelets
6869,Necklaces
6870,Bracelets
6871,Bracelets
6872,Shoulder bags
6873,Necklaces
6874,Bracelets
6875,Bracelets
6876,Necklaces
6877,Necklaces
6878,Bracelets
6879,Bracelets
6880,Bracelets
6881,Necklaces
6882,Short sleeve blouses
6883,Socks
6884,Necklaces
6885,Long sleeve t-shirts
6886,Rings
6887,Necklaces
6888,Necklaces
6889,Pyjamas
