,product_category
7907,Caps
7908,Jackets
7909,Socks
7910,Sunglasses
7911,Sunglasses
7912,Jackets
7913,Socks
7914,Shoulder bags
7915,Shoulder bags
7916,Caps
7917,Round neck jumpers
7918,Short sleeve t-shirts
7919,Short sleeve shirts
7920,Short sleeve t-shirts
7921,Round neck sweatshirts
7922,Short sleeve t-shirts
7923,Cardigans
7924,Jackets
7925,Short sleeve t-shirts
7926,Short sleeve t-shirts
7927,Straight
7928,Short sleeve t-shirts
7929,Short sleeve t-shirts
7930,Short sleeve t-shirts
7931,Short sleeve t-shirts
7932,Round neck jumpers
7933,Short sleeve t-shirts
7934,Jogging bottoms
7935,Round neck sweatshirts
7936,Hooded sweatshirts
7937,Short sleeve t-shirts
7938,Short sleeve t-shirts
7939,Chinos
7940,Short sleeve t-shirts
7941,Long sleeve t-shirts
7942,Coats
7943,Watches
7944,Caps
7945,Caps
7946,Round neck sweatshirts
7947,Caps
7948,Caps
7949,Caps
7950,Caps
7951,Caps
7952,Round neck sweatshirts
7953,Round neck sweatshirts
7954,Short sleeve polo shirts
7955,Short sleeve t-shirts
7956,Short sleeve polo shirts
7957,Short sleeve t-shirts
7958,Short sleeve polo shirts
7959,Long sleeve shirts
7960,Short sleeve polo shirts
7961,Long sleeve shirts
7962,Shorts
7963,Short sleeve polo shirts
7964,Long sleeve shirts
7965,Jackets
7966,Short sleeve t-shirts
7967,Shorts
7968,Cargo trousers
7969,Short sleeve t-shirts
7970,Jackets
7971,"Briefs, Swim shorts"
7972,Long sleeve shirts
7973,"Briefs, Swim shorts"
7974,Round neck jumpers
7975,Hooded sweatshirts
7976,Round neck sweatshirts
7977,Short sleeve polo shirts
7978,Hooded sweatshirts
7979,Long sleeve shirts
7980,Short sleeve shirts
7981,Long sleeve shirts
7982,Short sleeve t-shirts
7983,Short sleeve t-shirts
7984,Short sleeve t-shirts
7985,Short sleeve t-shirts
7986,Short sleeve shirts
7987,Short sleeve t-shirts
7988,Short sleeve shirts
7989,Short sleeve polo shirts
7990,Jackets
7991,Slouchy trousers
7992,Shorts
7993,Zipped sweatshirts
7994,Short sleeve polo shirts
7995,Short sleeve t-shirts
7996,Long sleeve shirts
7997,"Briefs, Swim shorts"
7998,"Briefs, Swim shorts"
7999,Shorts
8000,Shorts
8001,Shorts
8002,Round neck jumpers
8003,Shorts
8004,Down jackets
8005,Shorts
8006,Short sleeve polo shirts
8007,Short sleeve polo shirts
8008,Jackets
8009,Straight
8010,Short sleeve t-shirts
8011,Short sleeve polo shirts
8012,Short sleeve shirts
8013,"Belts, Braces"
8014,"Belts, Braces"
8015,"Belts, Braces"
8016,"Belts, Braces"
8017,"Belts, Braces"
8018,"Belts, Braces"
8019,"Belts, Braces"
8020,"Belts, Braces"
8021,"Belts, Braces"
8022,Round neck sweatshirts
8023,Round neck sweatshirts
8024,Socks
8025,Round neck sweatshirts
8026,"Briefs, Swim shorts"
8027,Long sleeve shirts
8028,Long sleeve t-shirts
8029,Sunhats
8030,"Capes, Ponchos"
8031,Slouchy trousers
8032,Long sleeve shirts
8033,Short sleeve polo shirts
8034,Long sleeve shirts
8035,Long sleeve shirts
8036,Long sleeve shirts
8037,"Capes, Ponchos"
8038,Sunhats
8039,Long sleeve shirts
8040,Long sleeve t-shirts
8041,Short sleeve t-shirts
8042,Long sleeve shirts
8043,Short sleeve polo shirts
8044,Round neck sweatshirts
8045,Round neck sweatshirts
8046,Short sleeve t-shirts
8047,Long sleeve polo shirts
8048,Long sleeve shirts
8049,Shorts
8050,Long sleeve shirts
8051,Short sleeve t-shirts
8052,Shorts
8053,Long sleeve t-shirts
8054,"Briefs, Swim shorts"
8055,Round neck jumpers
