,product_category
7452,Caps
7453,Shorts
7454,Jackets
7455,Short sleeve polo shirts
7456,"Boxers, Briefs"
7457,Short sleeve t-shirts
7458,Jackets
7459,Long sleeve shirts
7460,Shorts
7461,Long sleeve shirts
7462,Short sleeve polo shirts
7463,Short sleeve t-shirts
7464,Shorts
7465,Hooded sweatshirts
7466,Fleece sweatshirts
7467,Short sleeve shirts
7468,Short sleeve t-shirts
7469,Short sleeve shirts
7470,Short sleeve shirts
7471,Short sleeve shirts
7472,Short sleeve shirts
7473,Hooded sweatshirts
7474,Fleece sweatshirts
7475,Sunhats
7476,Short sleeve shirts
7477,Caps
7478,Short sleeve shirts
7479,Sunhats
7480,Short sleeve shirts
7481,Caps
7482,Short sleeve shirts
7483,Short sleeve t-shirts
7484,Hooded sweatshirts
7485,"Caps, Beanies"
7486,Sunglasses
7487,Jackets
7488,Hooded sweatshirts
7489,Jackets
7490,Long sleeve polo shirts
7491,Short sleeve t-shirts
7492,Long sleeve shirts
7493,Hooded sweatshirts
7494,Short sleeve t-shirts
7495,Backpacks
7496,Straight
7497,Long sleeve shirts
7498,"Briefs, Swim shorts"
7499,Short sleeve shirts
7500,Jackets
7501,"Briefs, Swim shorts"
7502,Shorts
7503,Straight leg trousers
7504,"Briefs, Swim shorts"
7505,"Briefs, Swim shorts"
7506,"Briefs, Swim shorts"
7507,"Briefs, Swim shorts"
7508,"Briefs, Swim shorts"
7509,Shorts
7510,/
7511,Short sleeve t-shirts
7512,Long sleeve polo shirts
7513,Short sleeve t-shirts
7514,Straight
7515,/
7516,Short sleeve polo shirts
7517,Shorts
7518,Hooded sweatshirts
7519,Short sleeve polo shirts
7520,Short sleeve t-shirts
7521,Long sleeve shirts
7522,Socks
7523,"Boxers, Briefs"
7524,Hooded sweatshirts
7525,Caps
7526,Caps
7527,Short sleeve t-shirts
7528,Long sleeve t-shirts
7529,Socks
7530,Socks
7531,Caps
7532,Socks
7533,Socks
7534,Caps
7535,Caps
7536,Socks
7537,Socks
7538,Socks
7539,Fleece sweatshirts
7540,Short sleeve shirts
7541,Socks
7542,Sunglasses
7543,Fleece sweatshirts
7544,Foulards
7545,Foulards
7546,Jackets
7547,Short sleeve shirts
7548,Short sleeve shirts
7549,Long sleeve shirts
7550,Short sleeve t-shirts
7551,Short sleeve t-shirts
7552,Chinos
7553,Short sleeve shirts
7554,Short sleeve t-shirts
