,product_category
7317,"Briefs, Swim shorts"
7318,"Briefs, Swim shorts"
7319,"Briefs, Swim shorts"
7320,"Briefs, Swim shorts"
7321,"Briefs, Swim shorts"
7322,"Briefs, Swim shorts"
7323,Shorts
7324,Round neck sweatshirts
7325,"Briefs, Swim shorts"
7326,"Briefs, Swim shorts"
7327,"Briefs, Swim shorts"
7328,Round neck sweatshirts
7329,"Briefs, Swim shorts"
7330,"Briefs, Swim shorts"
7331,Shorts
7332,Round neck sweatshirts
7333,"Briefs, Swim shorts"
7334,Pencil cases
7335,Jackets
7336,Short sleeve t-shirts
7337,Long sleeve t-shirts
7338,Long sleeve t-shirts
7339,Long sleeve t-shirts
7340,Short sleeve t-shirts
7341,Short sleeve t-shirts
7342,Short sleeve t-shirts
7343,Short sleeve t-shirts
7344,Short sleeve t-shirts
7345,Long sleeve t-shirts
7346,Long sleeve t-shirts
7347,Short sleeve t-shirts
7348,Jackets
7349,Watches
7350,Watches
7351,Watches
7352,Watches
7353,Watches
7354,Watches
7355,Watches
7356,Watches
7357,Watches
7358,Watches
7359,Watches
7360,Short sleeve t-shirts
7361,Socks
7362,Caps
7363,Hooded sweatshirts
7364,Long sleeve shirts
7365,Short sleeve t-shirts
7366,Caps
7367,Short sleeve t-shirts
7368,Round neck sweatshirts
7369,Jackets
7370,Round neck jumpers
7371,Short sleeve shirts
7372,Short sleeve t-shirts
7373,Short sleeve t-shirts
7374,Short sleeve shirts
7375,Round neck jumpers
7376,Jackets
7377,Short sleeve shirts
7378,Straight leg trousers
7379,Straight leg trousers
7380,Long sleeve shirts
7381,Short sleeve t-shirts
7382,Short sleeve t-shirts
7383,Short sleeve shirts
7384,Short sleeve polo shirts
7385,Jackets
7386,"Slim, Skinny"
7387,Shorts
7388,Short sleeve shirts
7389,Long sleeve shirts
7390,Jackets
7391,Long sleeve t-shirts
7392,Jackets
7393,Hooded sweatshirts
7394,Short sleeve polo shirts
7395,Short sleeve shirts
7396,Short sleeve shirts
7397,Shorts
7398,Round neck sweatshirts
7399,Jackets
7400,Short sleeve t-shirts
7401,"Briefs, Swim shorts"
7402,Short sleeve t-shirts
7403,Hooded sweatshirts
7404,Long sleeve shirts
7405,Round neck sweatshirts
7406,Long sleeve shirts
7407,Short sleeve polo shirts
7408,Hooded sweatshirts
7409,Short sleeve shirts
7410,Beanies
7411,Beanies
7412,"Boxers, Briefs"
7413,"Boxers, Briefs"
7414,Beanies
7415,Long sleeve shirts
7416,Beanies
7417,Short sleeve t-shirts
7418,Shorts
7419,Jackets
7420,Jackets
7421,Watches
7422,Short sleeve shirts
7423,Long sleeve shirts
7424,Watches
7425,Watches
7426,Watches
7427,Watches
7428,Watches
7429,Watches
7430,Watches
7431,Watches
7432,Long sleeve shirts
7433,Hooded sweatshirts
7434,Shorts
7435,Hooded sweatshirts
7436,Long sleeve shirts
7437,Short sleeve shirts
7438,Round neck sweatshirts
7439,Short sleeve t-shirts
7440,Jackets
7441,Round neck sweatshirts
7442,Jackets
7443,Short sleeve t-shirts
7444,Jackets
7445,Short sleeve t-shirts
7446,Round neck sweatshirts
7447,Short sleeve t-shirts
7448,Straight leg trousers
7449,Shorts
7450,Caps
7451,Caps
