,product_category
8317,Jackets
8318,Short sleeve t-shirts
8319,Socks
8320,Short sleeve t-shirts
8321,Short sleeve t-shirts
8322,Round neck sweatshirts
8323,Short sleeve t-shirts
8324,Short sleeve t-shirts
8325,Caps
8326,Short sleeve t-shirts
8327,Zip-neck jumpers
8328,Long sleeve t-shirts
8329,Long sleeve t-shirts
8330,Short sleeve t-shirts
8331,Round neck jumpers
8332,Short sleeve t-shirts
8333,Backpacks
8334,Short sleeve t-shirts
8335,Socks
8336,Socks
8337,Socks
8338,Socks
8339,Socks
8340,Socks
8341,Short sleeve t-shirts
8342,Round neck jumpers
8343,Hooded sweatshirts
8344,Short sleeve t-shirts
8345,Socks
8346,Long sleeve t-shirts
8347,Caps
8348,Backpacks
8349,Round neck jumpers
8350,Jackets
8351,Hooded sweatshirts
8352,Round neck sweatshirts
8353,Short sleeve t-shirts
8354,Long sleeve shirts
8355,Round neck sweatshirts
8356,Short sleeve t-shirts
8357,Short sleeve t-shirts
8358,Short sleeve t-shirts
8359,Short sleeve t-shirts
8360,Jackets
8361,Short sleeve t-shirts
8362,Long sleeve t-shirts
8363,Short sleeve t-shirts
8364,Short sleeve t-shirts
8365,Short sleeve t-shirts
8366,Short sleeve t-shirts
8367,Socks
8368,Raincoats
8369,Short sleeve t-shirts
8370,Fanny packs
8371,Short sleeve t-shirts
8372,Toiletry bags
8373,Raincoats
8374,Raincoats
8375,Toiletry bags
8376,Small leather goods
8377,Short sleeve t-shirts
8378,Short sleeve t-shirts
8379,Short sleeve t-shirts
8380,Hooded sweatshirts
8381,Fanny packs
8382,Shoulder bags
8383,Socks
8384,Jackets
8385,Jackets
8386,Coats
8387,Tote bags
8388,Tote bags
8389,Tote bags
8390,Tote bags
8391,Tote bags
8392,Tote bags
8393,Tote bags
8394,Tote bags
8395,Tote bags
8396,Short sleeve t-shirts
8397,Jackets
8398,Chinos
8399,Handbags
8400,Gloves
8401,Round neck sweatshirts
8402,Straight
8403,Short sleeve t-shirts
8404,Hooded sweatshirts
8405,Hooded sweatshirts
8406,Hooded sweatshirts
8407,Short sleeve t-shirts
8408,Round neck jumpers
8409,Round neck sweatshirts
8410,Down jackets
8411,Short sleeve t-shirts
8412,Short sleeve t-shirts
8413,Short sleeve t-shirts
8414,Caps
8415,Caps
8416,Socks
8417,Caps
8418,Shoulder bags
8419,Fanny packs
8420,Fanny packs
8421,Tote bags
8422,Shoulder bags
8423,Cardigans
8424,Caps
8425,Straight
8426,Jackets
8427,"Sweatshirts, Sweaters"
8428,Round neck sweatshirts
8429,Long sleeve shirts
8430,"Skateboards, Scooters & Outdoor Toys"
8431,Round neck sweatshirts
8432,Jackets
8433,Umbrellas
8434,Jackets
8435,Round neck sweatshirts
8436,Jackets
8437,Sunglasses
8438,Sunglasses
8439,Sunglasses
8440,Sunglasses
8441,Short sleeve shirts
8442,Sunglasses
8443,Sunglasses
8444,Sunglasses
8445,Hats
8446,Caps
8447,Beanies
8448,Long sleeve t-shirts
8449,Hooded sweatshirts
8450,Fleece sweatshirts
8451,Backpacks
8452,Short sleeve t-shirts
8453,Watches
8454,Watches
8455,Watches
8456,Cardigans
8457,Jackets
8458,Round neck sweatshirts
8459,Straight
8460,Caps
8461,Shoulder bags
8462,Shoulder bags
8463,Short sleeve t-shirts
8464,Jackets
8465,Jogging bottoms
8466,Caps
8467,Caps
8468,Round neck jumpers
8469,Round neck jumpers
8470,Long sleeve shirts
8471,Shoulder bags
8472,Hooded sweatshirts
8473,Long sleeve shirts
8474,Straight leg trousers
8475,Mittens
8476,Short sleeve t-shirts
8477,Jackets
8478,Umbrellas
8479,Hooded sweatshirts
8480,Round neck sweatshirts
8481,Jackets
8482,Short sleeve t-shirts
8483,Down jackets
8484,"Pants, Jeans"
8485,Long sleeve shirts
8486,Down jackets
8487,Jackets
8488,Underwear
8489,Underwear
8490,Hooded sweatshirts
