,product_category
8491,Round neck sweatshirts
8492,Toiletry bags
8493,Jackets
8494,Short sleeve t-shirts
8495,Jackets
8496,Short sleeve t-shirts
8497,Short sleeve t-shirts
8498,Round neck sweatshirts
8499,Round neck jumpers
8500,Jackets
8501,Jackets
8502,Jackets
8503,Straight
8504,Round neck sweatshirts
8505,Jackets
8506,Coats
8507,Jackets
8508,Down jackets
8509,"Caps, Beanies"
8510,Coats
8511,Beanies
8512,Pouches
8513,Long sleeve t-shirts
8514,Beanies
8515,Umbrellas
8516,Umbrellas
8517,Umbrellas
8518,Umbrellas
8519,Umbrellas
8520,Socks
8521,Round neck jumpers
8522,Turtleneck jumpers
8523,Beanies
8524,Watches
8525,Watches
8526,Pouches
8527,Short sleeve t-shirts
8528,Hooded sweatshirts
8529,Caps
8530,Parkas
8531,Scarves
8532,Scarves
8533,Scarves
8534,Scarves
8535,Umbrellas
8536,Short sleeve t-shirts
8537,Round neck sweatshirts
8538,Short sleeve t-shirts
8539,Round neck sweatshirts
8540,Round neck sweatshirts
8541,Short sleeve t-shirts
8542,Round neck sweatshirts
8543,Shoulder bags
8544,Shoulder bags
8545,Fleece sweatshirts
8546,Jackets
8547,Shoulder bags
8548,Scarves
8549,Straight
8550,Tapered
8551,Shorts
8552,Hooded sweatshirts
8553,Beanies
8554,Poloneck jumpers
8555,Beanies
8556,Backpacks
8557,/
8558,Beanies
8559,Hooded sweatshirts
8560,Caps
8561,Jackets
8562,Jogging bottoms
8563,Hooded sweatshirts
8564,Round neck sweatshirts
8565,Hooded sweatshirts
8566,Jackets
8567,Joggers
8568,Beanies
8569,Jackets
8570,Jackets
8571,Jackets
8572,/
8573,/
8574,Jackets
8575,Caps
8576,Parkas
8577,Jackets
8578,Jackets
8579,Jackets
8580,"Capes, Ponchos"
8581,/
8582,Hats
8583,Socks
8584,Beanies
8585,Scarves
8586,Scarves
8587,Gloves
8588,/
8589,Short sleeve t-shirts
8590,/
8591,Gloves
8592,Snoods
8593,Poloneck jumpers
8594,/
8595,Caps
8596,Caps
8597,Caps
8598,Jackets
8599,Caps
8600,Caps
8601,Caps
8602,"Weekenders, Tote bags"
8603,Zip-neck jumpers
8604,Jackets
8605,Jackets
8606,Sunhats
8607,Down jackets
8608,Down jackets
8609,Down jackets
8610,Watches
8611,Down jackets
8612,Down jackets
8613,Sunhats
8614,Sunhats
8615,Watches
8616,Fashion Accessories
8617,Fashion Accessories
8618,Fashion Accessories
8619,Fashion Accessories
8620,Fashion Accessories
8621,Fashion Accessories
8622,Chinos
8623,Beanies
8624,Socks
8625,Socks
8626,Socks
8627,Socks
8628,Socks
8629,Socks
8630,Jackets
8631,Cardigans
8632,Jackets
8633,Beanies
8634,Hooded sweatshirts
8635,Jackets
8636,Beanies
8637,Down jackets
8638,Backpacks
8639,Down jackets
8640,Down jackets
8641,Down jackets
8642,Short sleeve t-shirts
8643,Beanies
8644,Beanies
8645,Beanies
8646,Short sleeve t-shirts
8647,Beanies
8648,Beanies
8649,Beanies
8650,Beanies
8651,Beanies
8652,Shoulder bags
8653,Short sleeve t-shirts
8654,Socks
8655,"Caps, Beanies"
8656,Jackets
8657,"Sweatshirts, Sweaters"
8658,"Caps, Beanies"
8659,"Caps, Beanies"
8660,Hats
8661,Socks
8662,Socks
8663,Socks
8664,Long sleeve t-shirts
8665,Straight
8666,"Caps, Beanies"
8667,"Caps, Beanies"
8668,Mittens
8669,"Cases, Phone cases, Sleeves"
8670,"Sweatshirts, Sweaters"
8671,Pencil cases
8672,Pouches
8673,Pencil cases
8674,Tote bags
8675,Short sleeve t-shirts
8676,Short sleeve t-shirts
8677,Short sleeve t-shirts
8678,Hooded sweatshirts
8679,Straight leg trousers
8680,Jackets
8681,Parkas
8682,Straight leg trousers
8683,Parkas
8684,Joggers
8685,Backpacks
8686,Watches
8687,Pouches
8688,Backpacks
8689,Backpacks
8690,Watches
8691,Watches
8692,Sunglasses
8693,Short sleeve t-shirts
8694,Sunhats
8695,"Caps, Beanies"
8696,Jackets
8697,Jackets
8698,Jackets
8699,"Capes, Ponchos"
8700,Small leather goods
8701,Jackets
8702,Bracelets
8703,Bracelets
8704,Jackets
8705,Socks
8706,Watches
8707,Small leather goods
8708,Watches
8709,Jackets
8710,Jackets
8711,"Caps, Beanies"
8712,Jackets
8713,Fashion Accessories
8714,Jackets
8715,Fashion Accessories
8716,Jackets
8717,Jackets
8718,Jackets
8719,Jackets
8720,Jackets
8721,Turtleneck jumpers
8722,"Sweatshirts, Sweaters"
8723,"Sweatshirts, Sweaters"
8724,"T-shirts, Tops & Blouses"
8725,"Sweatshirts, Sweaters"
8726,Fashion Accessories
8727,Fashion Accessories
8728,Joggers
8729,"T-shirts, Shirts"
8730,Fashion Accessories
8731,"T-shirts, Shirts"
8732,Bags
8733,Gloves
8734,Jackets
