,product_category
7228,Short sleeve t-shirts
7229,Short sleeve t-shirts
7230,Caps
7231,Short sleeve t-shirts
7232,Short sleeve t-shirts
7233,Short sleeve t-shirts
7234,Short sleeve t-shirts
7235,Short sleeve t-shirts
7236,Short sleeve t-shirts
7237,Short sleeve t-shirts
7238,Short sleeve t-shirts
7239,Short sleeve t-shirts
7240,Short sleeve t-shirts
7241,Short sleeve t-shirts
7242,Short sleeve t-shirts
7243,"Toiletry bags, Pouches"
7244,Fanny packs
7245,Fanny packs
7246,Sunglasses
7247,Short sleeve t-shirts
7248,Round neck sweatshirts
7249,Round neck sweatshirts
7250,Round neck sweatshirts
7251,Long sleeve t-shirts
7252,Round neck sweatshirts
7253,"Boxers, Briefs"
7254,Short sleeve t-shirts
7255,Round neck sweatshirts
7256,Short sleeve t-shirts
7257,Hooded sweatshirts
7258,Round neck sweatshirts
7259,Round neck sweatshirts
7260,Round neck sweatshirts
7261,Round neck sweatshirts
7262,Short sleeve t-shirts
7263,Shoulder bags
7264,Jackets
7265,Jackets
7266,Jogging bottoms
7267,Hooded sweatshirts
7268,Jogging bottoms
7269,Hooded sweatshirts
7270,Shorts
7271,Round neck sweatshirts
7272,Zipped sweatshirts
7273,Shorts
7274,Hooded sweatshirts
7275,Zipped sweatshirts
7276,Zipped sweatshirts
7277,Jogging bottoms
7278,Shorts
7279,Hooded sweatshirts
7280,Shorts
7281,Caps
7282,Caps
7283,Caps
7284,"Briefs, Swim shorts"
7285,Tote bags
7286,Short sleeve t-shirts
7287,"Skateboards, Scooters & Outdoor Toys"
7288,Short sleeve t-shirts
7289,Round neck sweatshirts
7290,"Briefs, Swim shorts"
7291,Backpacks
7292,Hooded sweatshirts
7293,Backpacks
7294,Round neck sweatshirts
7295,Short sleeve t-shirts
7296,Short sleeve t-shirts
7297,Short sleeve t-shirts
7298,Hooded sweatshirts
7299,Short sleeve t-shirts
7300,Caps
7301,Short sleeve t-shirts
7302,Short sleeve t-shirts
7303,Jackets
7304,Jackets
7305,Short sleeve t-shirts
7306,Short sleeve t-shirts
7307,Fanny packs
7308,"Slim, Skinny"
7309,Fanny packs
7310,Backpacks
7311,Backpacks
7312,"Briefs, Swim shorts"
7313,"Briefs, Swim shorts"
7314,Shorts
7315,Round neck sweatshirts
7316,"Briefs, Swim shorts"
