,product_category
2305,Sunhats
2306,"Blouses, T-shirts"
2307,1 piece swimsuits
2308,1 piece swimsuits
2309,Long sleeve blouses
2310,Tote bags
2311,Long sleeve blouses
2312,Bikini bottom
2313,1 piece swimsuits
2314,Handbags
2315,Long skirts
2316,Long dresses
2317,1 piece swimsuits
2318,Short sleeve shirts
2319,Sunglasses
2320,Short sleeve t-shirts
2321,Bikini top
2322,Bikini bottom
2323,Straight leg trousers
2324,Beanies
2325,Slouchy trousers
2326,Long sleeve shirts
2327,/
2328,Foulards
2329,Tote bags
2330,Tote bags
2331,Foulards
2332,Foulards
2333,Foulards
2334,Hats
2335,1 piece swimsuits
2336,Hats
2337,Hats
2338,Hats
2339,Tote bags
2340,Tote bags
2341,Tote bags
2342,Tote bags
2343,Scarves
2344,Scarves
2345,Tote bags
2346,Foulards
2347,Foulards
2348,Foulards
2349,Bras
2350,"Leggings, Boxer shorts"
2351,Long dresses
2352,Round neck sweatshirts
2353,Long dresses
2354,Slouchy trousers
2355,"Leggings, Boxer shorts"
2356,Bikinis
2357,1 piece swimsuits
2358,Bikinis
2359,Short sleeve blouses
2360,Caps
2361,Long dresses
2362,Straight
2363,Tote bags
2364,Long dresses
2365,Long dresses
2366,Short sleeve shirts
2367,Long sleeve shirts
2368,Long dresses
2369,Pyjamas
2370,Long dresses
2371,Short dresses
2372,Bikinis
2373,Short dresses
2374,Bikinis
2375,Caps
2376,Bikinis
2377,Bikinis
2378,1 piece swimsuits
2379,Long sleeve blouses
2380,Bikinis
2381,Bikinis
2382,1 piece swimsuits
2383,Long dresses
2384,Bikini bottom
2385,Bikini top
2386,Long skirts
2387,Long sleeve blouses
2388,Long sleeve blouses
2389,Long dresses
2390,Long dresses
2391,Bikini bottom
2392,Jackets
2393,Long sleeve blouses
2394,Long dresses
2395,Shoulder bags
2396,Long sleeve blouses
2397,"Blouses, T-shirts"
2398,Bikini bottom
2399,Bikini top
2400,Round neck jumpers
2401,Shorts
2402,Round neck jumpers
2403,Shoulder bags
2404,"Blouses, T-shirts"
2405,Short sleeve blouses
2406,Round neck jumpers
2407,Round neck jumpers
2408,Short dresses
2409,Small leather goods
2410,"Blouses, T-shirts"
2411,Short sleeve t-shirts
2412,Shorts
2413,Round neck jumpers
2414,Short sleeve t-shirts
2415,Round neck jumpers
2416,Short sleeve t-shirts
2417,"Blouses, T-shirts"
2418,Short sleeve t-shirts
2419,Tote bags
2420,Tote bags
2421,Long dresses
2422,"Belts, Braces"
