,product_category
1206,Sports Leggings & shorts
1207,Sports Leggings & shorts
1208,Knickers
1209,Sports Bras
1210,Sports Top
1211,Sleeveless tops
1212,Sleeveless tops
1213,Sleeveless tops
1214,Bikini bottom
1215,Bikini top
1216,Long sleeve blouses
1217,Knickers
1218,1 piece swimsuits
1219,Bikini bottom
1220,Bikini bottom
1221,1 piece swimsuits
1222,"Belts, Braces"
1223,Long dresses
1224,Jackets
1225,Short dresses
1226,Sleeveless tops
1227,"Belts, Braces"
1228,Long dresses
1229,1 piece swimsuits
1230,Bikini bottom
1231,Short dresses
1232,"Belts, Braces"
1233,Shoulder bags
1234,"Belts, Braces"
1235,Jumpsuits
1236,Bodysuit
1237,Sports Top
1238,Sports Leggings & shorts
1239,Sports Bras
1240,Long dresses
1241,Short sleeve t-shirts
1242,Long dresses
1243,Long skirts
1244,Long dresses
1245,Short dresses
1246,Short dresses
1247,"Caps, Beanies"
1248,Long dresses
1249,Sunglasses
1250,Trench coats
1251,Long dresses
1252,Short dresses
1253,Long dresses
1254,Bracelets
1255,Knickers
1256,1 piece swimsuits
1257,/
1258,Jumpsuits
1259,Bikini top
1260,Shoulder bags
1261,Tote bags
1262,Trench coats
1263,Tank tops
1264,Short dresses
1265,Beanies
1266,Short sleeve t-shirts
1267,Shorts
1268,Long skirts
1269,Short sleeve blouses
1270,Long sleeve shirts
1271,V neck jumpers
1272,Coats
1273,Sunglasses
1274,Long dresses
1275,Long dresses
1276,Long dresses
1277,Straight leg trousers
1278,Short dresses
1279,"Flare, Bootcut"
1280,Shorts
1281,Straight
1282,Shorts
1283,Long sleeve blouses
1284,Cardigans
1285,Short sleeve shirts
1286,Long sleeve shirts
1287,Short sleeve blouses
1288,Short sleeve t-shirts
1289,1 piece swimsuits
1290,Long dresses
1291,Bikini bottom
1292,Bikini top
1293,Round neck jumpers
1294,Jackets
1295,Sleeveless tops
1296,Shoulder bags
1297,V neck jumpers
1298,Pyjamas
1299,Backpacks
1300,Straight leg trousers
1301,Long dresses
1302,Long sleeve shirts
1303,Round neck sweatshirts
1304,Long sleeve t-shirts
1305,Short dresses
1306,Long skirts
1307,Backpacks
1308,Straight
1309,Short sleeve blouses
1310,Short skirts
1311,Sleeveless tops
1312,Earrings
1313,Bracelets
1314,Necklaces
1315,Earrings
1316,Earrings
1317,Earrings
1318,Earrings
1319,Knickers
1320,Shorts
