,product_category
8056,Round neck jumpers
8057,"Briefs, Swim shorts"
8058,Shoulder bags
8059,Pouches
8060,Shorts
8061,Long sleeve t-shirts
8062,Round neck sweatshirts
8063,Pouches
8064,Round neck sweatshirts
8065,Pouches
8066,/
8067,/
8068,"Briefs, Swim shorts"
8069,/
8070,Shorts
8071,Shorts
8072,Long sleeve shirts
8073,Jackets
8074,Beanies
8075,Round neck jumpers
8076,Long sleeve shirts
8077,Beanies
8078,Umbrellas
8079,"Belts, Braces"
8080,Jackets
8081,Fleece sweatshirts
8082,Jackets
8083,Jackets
8084,Short sleeve t-shirts
8085,Long sleeve shirts
8086,Small leather goods
8087,Short sleeve t-shirts
8088,Short sleeve t-shirts
8089,Hooded sweatshirts
8090,Short sleeve t-shirts
8091,Short sleeve t-shirts
8092,Hooded sweatshirts
8093,Short sleeve t-shirts
8094,Hooded sweatshirts
8095,Shoulder bags
8096,Jackets
8097,Short sleeve t-shirts
8098,Jogging bottoms
8099,Round neck sweatshirts
8100,Round neck sweatshirts
8101,Jogging bottoms
8102,Round neck sweatshirts
8103,"Briefs, Swim shorts"
8104,Long sleeve shirts
8105,Straight
8106,Straight
8107,Jackets
8108,Long sleeve shirts
8109,Short sleeve t-shirts
8110,Short sleeve shirts
8111,Short sleeve t-shirts
8112,Jackets
8113,Round neck sweatshirts
8114,Short sleeve t-shirts
8115,Hooded sweatshirts
8116,Short sleeve t-shirts
8117,Short sleeve t-shirts
8118,Long sleeve shirts
8119,Round neck sweatshirts
8120,Round neck sweatshirts
8121,Round neck sweatshirts
8122,"Briefs, Swim shorts"
8123,"Briefs, Swim shorts"
8124,"Briefs, Swim shorts"
8125,"Briefs, Swim shorts"
8126,Watches
8127,Velvet trousers
8128,Velvet trousers
8129,Short sleeve t-shirts
8130,Chinos
8131,Straight leg trousers
8132,Chinos
8133,Hooded sweatshirts
8134,Velvet trousers
8135,Straight
8136,Jackets
8137,Watches
8138,Watches
8139,Watches
8140,"Caps, Beanies"
8141,Sunglasses
8142,Sunglasses
8143,Sunglasses
8144,Shoulder bags
8145,Coats
8146,Caps
8147,Long sleeve t-shirts
8148,Caps
8149,Watches
8150,Fashion Accessories
8151,"Briefs, Swim shorts"
8152,Cardigans
8153,Fleece sweatshirts
8154,Shoulder bags
8155,Short sleeve t-shirts
8156,"Sweatshirts, Sweaters"
8157,Caps
8158,"Belts, Braces"
8159,"Belts, Braces"
8160,Backpacks
8161,"Caps, Beanies"
8162,Round neck sweatshirts
8163,Gym bags
8164,Short sleeve t-shirts
8165,Pencil cases
8166,Short sleeve t-shirts
8167,Short sleeve t-shirts
8168,"Briefs, Swim shorts"
8169,"Briefs, Swim shorts"
8170,Short sleeve shirts
8171,Shoulder bags
8172,Short sleeve polo shirts
8173,Fashion Accessories
8174,Bags
8175,Sunglasses
8176,Sunglasses
8177,Sunglasses
8178,Sunglasses
8179,Sunglasses
8180,Sunglasses
8181,Sunglasses
8182,Sunglasses
8183,Caps
8184,Sunglasses
8185,Tapered
8186,Sunglasses
8187,Sunglasses
8188,Sunglasses
8189,Sunglasses
8190,Jackets
8191,Computer Glasses
8192,Sunglasses
8193,Computer Glasses
8194,Sunglasses
8195,Sunglasses
8196,Sunglasses
8197,Sunglasses
8198,Sunglasses
8199,Computer Glasses
8200,Jackets
8201,Shorts
8202,Jackets
8203,Short sleeve polo shirts
8204,Shorts
8205,Short sleeve t-shirts
8206,Fashion Accessories
8207,Watches
8208,Watches
8209,"Briefs, Swim shorts"
8210,"Briefs, Swim shorts"
8211,Sunglasses
8212,"Caps, Beanies"
8213,Computer Glasses
8214,"Briefs, Swim shorts"
8215,"Sweatshirts, Sweaters"
8216,Watches
8217,Watches
8218,Watches
8219,Jackets
8220,Sunglasses
8221,Sunglasses
8222,"Caps, Beanies"
8223,Short sleeve t-shirts
8224,Fashion Accessories
8225,"T-shirts, Tops & Blouses"
8226,Fashion Accessories
8227,"Pants, Jeans"
8228,"Sweatshirts, Sweaters"
8229,"T-shirts, Tops & Blouses"
8230,"Sweatshirts, Sweaters"
8231,"Caps, Beanies"
8232,"T-shirts, Tops & Blouses"
8233,Shorts
8234,Fashion Accessories
8235,Fashion Accessories
8236,Fashion Accessories
8237,Fashion Accessories
8238,Fashion Accessories
8239,Sunglasses
8240,Sunglasses
8241,Sunglasses
8242,Computer Glasses
8243,Computer Glasses
8244,Sunglasses
8245,Fashion Accessories
8246,Computer Glasses
8247,Sunglasses
8248,"T-shirts, Shirts"
8249,"Pants, Jeans"
8250,Fashion Accessories
8251,Fashion Accessories
8252,Jackets
8253,Computer Glasses
8254,Sunglasses
8255,Sunglasses
8256,Fashion Accessories
8257,Hooded sweatshirts
8258,Sunglasses
8259,Socks
8260,Hooded sweatshirts
8261,Hooded sweatshirts
8262,Backpacks
8263,Short sleeve t-shirts
8264,Short sleeve t-shirts
8265,Short sleeve t-shirts
8266,Short sleeve t-shirts
8267,Long sleeve t-shirts
8268,Short sleeve t-shirts
8269,Round neck sweatshirts
8270,Socks
8271,Socks
8272,Socks
8273,Socks
8274,Backpacks
8275,Backpacks
8276,Backpacks
8277,Backpacks
8278,Small leather goods
8279,Small leather goods
8280,Fanny packs
8281,Fanny packs
8282,Pouches
8283,Raincoats
8284,Round neck jumpers
8285,Long sleeve t-shirts
8286,Jackets
8287,Tapered
8288,Bags
8289,Backpacks
8290,Jackets
8291,Caps
8292,Hooded sweatshirts
8293,Round neck sweatshirts
8294,Hooded sweatshirts
8295,Socks
8296,Round neck sweatshirts
8297,Long sleeve t-shirts
8298,Caps
8299,Socks
8300,Tote bags
8301,Long sleeve shirts
8302,Caps
8303,Short sleeve t-shirts
8304,Short sleeve t-shirts
8305,Jogging bottoms
8306,Hooded sweatshirts
8307,Round neck sweatshirts
8308,Tapered
8309,Short sleeve t-shirts
8310,Short sleeve t-shirts
8311,Round neck sweatshirts
8312,Short sleeve t-shirts
8313,Short sleeve t-shirts
8314,Short sleeve t-shirts
8315,"Boxers, Briefs"
8316,/
